datasize,real,model
286000.0,1.156777,1.136407125
205000.0,0.833447,0.848328
110000.0,0.517124,0.53946
66000.0,0.321763,0.295799166667
178000.0,0.72423,0.7030586
248000.0,1.005864,0.982196
128000.0,0.52122,0.543103909091
244000.0,0.989192,0.992008
230000.0,0.932231,0.93492
59000.0,0.290051,0.292738
158000.0,0.643205,0.645766
176000.0,0.714694,0.694459133333
231000.0,0.935463,0.936456
122000.0,0.540388,0.543876
50000.0,0.248194,0.2246994
135000.0,0.550213,0.65978
220000.0,0.892199,0.894472
187000.0,0.759845,0.7357598125
88000.0,0.427395,0.40680375
273000.0,1.103433,1.08357652174
216000.0,0.875623,0.878344
129000.0,0.5249,0.50547
161000.0,0.729638,0.634303285714
278000.0,1.124713,1.12961
296000.0,1.198249,1.1804002
40000.0,0.197698,0.17634575
285000.0,1.153513,1.1301385
76000.0,0.369379,0.34671
13000.0,0.0744000000001,0.0563519999999
81000.0,0.392771,0.397506
78000.0,0.380003,0.354554571429
238000.0,0.965447,0.9417486
34000.0,0.167937,0.169536
138000.0,0.659685,0.588313166667
39000.0,0.194018,0.17208975
200000.0,0.81239,0.929846823529
169000.0,0.686021,0.688006
181000.0,0.736581,0.7378
71000.0,0.345027,0.352898
41000.0,0.20141,0.182224
120000.0,0.528964,0.534468
69000.0,0.336419,0.337732
170000.0,0.690757,0.694726
153000.0,0.621893,0.600865384615
89000.0,0.433347,0.406681875
149000.0,0.608005,0.587328846154
283000.0,1.146059,1.12493716667
152000.0,0.619877,0.594957692308
221000.0,0.895943,0.901894
22000.0,0.108545,0.1136
164000.0,0.666469,0.647201571429
258000.0,1.046313,1.048968
63000.0,0.30813,0.2879965
243000.0,0.984808,0.98644
46000.0,0.226338,0.225538
197000.0,0.801062,0.778029352941
253000.0,1.025864,1.026824
148000.0,0.602117,0.583080769231
299000.0,1.20913,1.1915624
146000.0,0.594852,0.596678
196000.0,0.795527,0.798598
250000.0,1.015944,0.989005904762
53000.0,0.260323,0.23472
77000.0,0.374243,0.352534
225000.0,0.911751,0.892182947369
92000.0,0.446083,0.421021875
115000.0,0.497475,0.4877414
85000.0,0.412259,0.41933
124000.0,0.547812,0.527584909091
293000.0,1.18529,1.187594
101000.0,0.488996,0.466332666667
212000.0,0.859751,0.83839
136000.0,0.554117,0.6341905
202000.0,0.821606,0.892452
112000.0,0.524516,0.476615
277000.0,1.120905,1.122698
113000.0,0.489507,0.4797766
214000.0,0.868454,0.844983611111
262000.0,1.062312,1.03757436364
207000.0,0.840423,0.84084
192000.0,0.78071,0.78388
173000.0,0.703046,0.6813434
163000.0,0.738309,0.740577214286
182000.0,0.741285,0.743494
287000.0,1.160297,1.140919125
175000.0,0.710982,0.688891133333
281000.0,1.136553,1.139528
257000.0,1.040968,1.041864
255000.0,1.034248,1.036104
295000.0,1.194922,1.17512976
166000.0,0.675045,0.67751
105000.0,0.49402,0.513986
130000.0,0.528836,0.534148
151000.0,0.615397,0.592928846154
